Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Open Access,Source
"Treacy T., Delaney K., McCloskey R., O’Hora N.","A Case for Enterprise Engagement in Multi-stage Sustainability Education for University Engineering Students",2025,"World Sustainability Series","Part F128",,,"105","126",,,"10.1007/978-3-031-80380-2_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000273276&doi=10.1007%2f978-3-031-80380-2_6&partnerID=40&md5=d759db2a36017a5c1d56f1eee40236fc","Future engineering graduates will need to address key societal challenges relating to sustainability. Exposing engineering students to simulated real world challenges where they must fully define a problem, ideate, and storyboard potential solutions helps them develop and refine their engineering capabilities. Grouping students from different stages and programmes of study, where the implicit peer-to-peer learning can be of tremendous benefit to students, facilitates a broader range of experience. Furthermore, as part of their professional formation such collaboration exposes students to other available educational opportunities. Engagement with enterprise partners to address some of the challenges these partners face, exposes university students to relevant approximations of professional practice relating to sustainability. Technological University Dublin (TU Dublin) has piloted activities with enterprises to help equip students address and solve sustainability issues and encourage them to develop and practice the attitudes, technical and non-technical skills required. The aim of this work is to explain how TU Dublin encourages competence building relating to sustainability within the undergraduate mechanical engineering student cohort through extra-curricular enterprise-engagement activities. More specifically, this chapter describes a pilot programme initiated by the School of Mechanical Engineering in TU Dublin during the academic year 2022–23, in co-operation with an industry partner. The goal was to reinforce the importance of the United Nations Sustainability Development Goals and help engineering students develop and contextualise the competences and skills needed as they embark on their careers whilst simultaneously giving them experience of enterprise engagement. Other educators working on competence building in sustainable development of students will benefit from the details of the case study presented. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Authentic assessment; Enterprise engagement; Extra-curricular; Sustainability teaching",,Book Chapter,"",Scopus
"Tsegaye S., Sunny C.E., Girimurugan S.B., Kooyman J.","Application of Virtual Reality for Sustainability Education",2025,"International Journal of Engineering Education","41","2",,"527","547",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000871314&partnerID=40&md5=c8449bfdaf1a7c2be7294f0967809c69","Virtual reality (VR) stands as a cutting-edge educational platform facilitating the visualization of intricate engineering and sustainability concepts, yet there exists a notable research gap regarding its potential to enhance sustainability education. This study compared traditional lectures, VR animations on flat screens, and head-mounted VR on student knowledge retention and engagement in sustainability education. A quasi-experimental design was employed with Pre (N = 55), Post-1 (N = 55), and Post-2 (N = 51) assessments to measure content knowledge and perceptions, using both quantitative and qualitative data. Mann-Whitney tests showed significant differences between Pre and both Post-1 (p = 0.0028) and Post-2 (p = 0.0044), but not between Post-1 and Post-2 (p = 0.5014). Content knowledge improved with both VR head-mounted displays and flat screen methods compared to traditional lectures. However, VR with head-mounted displays performed better than flat screen methods. The perception survey analysis used a two-sample test for proportions to compare the delivery modes. Post survey scores indicated that head-mounted VR had higher mean and median values compared to traditional and flat screen methods, suggesting it was perceived as more valuable, engaging, and effective in learning. Sentiment analysis of open-ended responses showed that students rated the flat screen delivery mode more positively in Post-2. Although head-mounted VR showed a similar trend, it didn’t achieve the same level of positivity. Enhancing the user interface and visual quality could improve its positive sentiment. The results highlight VR’s effectiveness as an educational tool, providing immersive, customizable learning environments and risk-free simulations that could transform sustainability education and equip future leaders for global challenges. © 2025 TEMPUS Publications.","engineering education; knowledge retention; perception; sustainability; virtual reality; VR","Engineering education; Flat panel displays; Helmet mounted displays; Students; Content knowledge; Cutting edges; Delivery modes; Educational platforms; Flat-screens; Head mounted virtual reality; Head-mounted-displays; Knowledge retention; Research gaps; Sustainability education; Virtual environments",Article,"",Scopus
"Oyedeji S., Adisa M.O., Porras J.","Sustainability Education in Software Engineering: Experiences from Requirement Engineering Curriculum",2025,"World Sustainability Series","Part F280",,,"1189","1213",,,"10.1007/978-3-031-80434-2_65","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002814406&doi=10.1007%2f978-3-031-80434-2_65&partnerID=40&md5=36c19cc40612b6cebc222da7b118df75","The current software engineering workforce lacks an understanding of ways to tackle the different sustainability impacts of software solutions on users, society, and the environment. As a result, higher educational institutions are tasked with providing courses for training the current workforce and educating students, who are future software development practitioners, to have sustainability awareness and competency. However, there are few concrete sustainability guidelines and examples, specifically in requirement engineering, to guide software engineering students in higher educational institutions to evaluate the sustainability impacts of software systems and services. This paper reports the results of applying collaborative learning methods with a sustainability awareness framework and goal model to educate first-year software engineering master’s students in a requirement engineering course at LUT University, Finland. The requirement engineering course focuses on creating sustainability awareness among students and improving their competencies to become sustainability advocates in software engineering projects. The results detail the evolution of the requirements engineering course content and structure from 2020 to 2022 with a focus on the teaching methods, course content, student feedback, and lessons learned. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Collaborative learning; Goal modeling; Requirement engineering; Software engineering; Sustainability awareness framework; Sustainability education",,Book Chapter,"",Scopus
"Praveen Sam D., Keerthy S.","From texts to technology: Employing content-based instruction approach to enhance reading proficiency and environmental consciousness in esl engineering students",2025,"Journal of Engineering Education Transformations","38","3",,"33","43",,,"10.16920/jeet/2024/v38i3/24243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219024537&doi=10.16920%2fjeet%2f2024%2fv38i3%2f24243&partnerID=40&md5=39b83b5c6108a27cfd12e61fa80028bd","Engineering is one of India's most preferred genres in higher education. Technical English language courses are offered to Engineering students in the first and second semesters. The primary objectives of these courses are to prepare learners to handle technical subjects, most of the time discoursed using the English language and to use the language skills appropriately in authentic contexts. Reading is one of the important skills focused on during these courses. This work concentrates on the impact of content related to environmental consciousness as materials for reading instruction on tertiary-level engineering learners in the English as a Second Language (ESL) context. Further, the samples were investigated using a one-group-pretest-post-test design. The t-test for two means was used to statistically analyse the data collected during the survey and the results of the pretest and post-test. As a part of the study, a survey on the impact of Contentbased Instruction (CBI) was conducted, and the survey reflected the effectiveness of the content on the environment in developing reading competence aswell as a medium in realising the importance of environmental consciousness. The survey was performed using a semi-structured interview, and four learner variables were identified, namely- Prior Knowledge, Interest in Environmental Issues, Learning Style, Personal Beliefs and Values This paper presents the pedagogical implications of using content related to the environment and the impact of these materials on learners. This content has been used to improve reading comprehension skills and create awareness of the responsibilities of budding engineers towards the environment. © 2025, Rajarambapu Institute Of Technology. All rights reserved.","Content-Based Instruction; Environmental Consciousness; Learner Variables; Panglossian Attitude; Reading Comprehension; Reading Instruction; Sustainability Education",,Article,"All Open Access, Gold",Scopus
"Laranjeiro D., Lillebø A.I., Vieira H.","Generative AI in Climate Change Communication and Education",2025,"International Conference on Computer Supported Education, CSEDU - Proceedings","1",,,"123","134",,,"10.5220/0013478400003932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003632474&doi=10.5220%2f0013478400003932&partnerID=40&md5=12f1963caa1297a84849ed3e512b63e1","Climate communication faces challenges such as scientific complexity, misinformation or lack of personal connection that make it difficult for the public to understand and act on climate change in an informed way. This study was conducted to ascertain whether Generative AI may facilitate public understanding and reduce barriers to climate communication. Questions were asked to ChatGPT, that provided clear and informative answers, synthesising key concepts, clarifying doubts and excluding misinformation. Some answers were too brief or general, requiring more information. As Generative AI depends upon open access information, academia has a key role in ensuring availability of accurate science-based and policy-relevant knowledge. Copyright © 2025 by SCITEPRESS - Science and Technology Publications, Lda.","ChatGPT; Climate Change; Climate Communication; Climate Education","Engineering education; Teaching; ChatGPT; Climate communication; Climate education; OpenAccess; Personal connections; Public understanding; Global warming",Conference Paper,"",Scopus
"Alayar M., Alrashidi N., Alrashaidi E., Alazmi K.","The role of alternative metals in enhancing creativity and sustainability in art education: A qualitative study",2025,"Social Sciences and Humanities Open","11",,"101547","","",,,"10.1016/j.ssaho.2025.101547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004595194&doi=10.1016%2fj.ssaho.2025.101547&partnerID=40&md5=4cc85bce67707a6ec3eadb8b7c2880c3","Background: Alternative metals, such as aluminium and recycled materials, are increasingly significant in art education, particularly in areas such as metalwork and sculpture due to their creative potential, sustainability, and interdisciplinary applications. However, their integration into formal curricula remains limited. Purpose: This study explores how alternative metals enhance students' creativity, promote environmental awareness, and support interdisciplinary skill development in higher art education, with emphasis on their application in metal-based practices. Materials and methods: Using qualitative document analysis, this research reviewed professional and institutional sources, applying Krippendorff's content analysis to identify key themes related to creativity, sustainability, and interdisciplinary learning. Findings: The study reveals that incorporating alternative metals enriches artistic expression, promotes the use of sustainable materials aligned with circular economy principles, and fosters interdisciplinary collaboration between art, engineering, and material sciences. However, challenges such as high material costs and limited expertise hinder their practical application. Conclusion: Integrating alternative metals, especially through metalwork and sculptural practices within art education enhances student learning and professional preparedness. Future research should explore cost-effective strategies and global best practices for incorporating these materials into art education programmes. © 2025 The Authors","Alternative metals; Art education; Constructivist learning theory; Creativity; Interdisciplinary learning; Metalwork; Sculpture; Sustainability; Sustainability education theory",,Article,"",Scopus
"Gutierrez-Bucheli L., Reid A., Kidman G., Lamborn J.","Exploring response levels to sustainability in engineering curricula: a cross-case analysis",2025,"International Journal of Sustainability in Higher Education",,,,"","",,1,"10.1108/IJSHE-02-2024-0070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214096396&doi=10.1108%2fIJSHE-02-2024-0070&partnerID=40&md5=da916dc4010a8f1b218c4a4fea11ee72","Purpose: This study aims to explore how engineering curricula can address sustainability considerations. Through a cross-case analysis, a hybrid theoretical-empirical model is developed to identify and analyse a broad range of possible and actual responses to sustainability within engineering education. Design/methodology/approach: The study employs a multiple-case study design to compare the experiences of educators and students engaging with sustainability topics in two contrasting tertiary civil engineering programs. It draws on an original conceptual framework informed by the literature for analysing educational responses to sustainability around the world, which can be applied to a diverse range of educational settings. Conceptual review, fieldwork, case-specific and cross-case analysis have been used to refine the framework, enabling the emergence of a hybrid model. Findings: The hybrid model suggests three levels of response to sustainability in engineering education, which can be characterised as: 1) incorporation, 2) integration and 3) transformation. Each level is analysed in relation to five dimensions: functions, content, relationships, spaces and time, which influence the nature of the response and its capacity to foster learning. Cross-case analysis findings suggest that the shape and focus of a particular response to sustainability are significantly influenced by both the types of engineering problems, and the diversity and extent of relationships that engineering educators and students engage during teaching and learning. Practical implications: Cross-case analysis reveals that developing and supporting (inter)subjective relationships can play a pivotal role in fostering a transformation level of response. Engagement with Indigenous, more-than-human and interdisciplinary perspectives in engineering education for sustainability can also be critical to deepening students’ reflexivity. Originality/value: The study helps ground theory-driven frameworks for analysing the nature and purpose of responses to sustainability in engineering education, and higher education more broadly. The study also offers a novel hybrid model for identifying and classifying responses to sustainability in engineering education and other disciplines. © 2024, Emerald Publishing Limited.","Cross-case analysis; Engineering education; Environmental and sustainability education; Multiple-case design; Sustainability",,Article,"",Scopus
"Cordaro J.A., Murphy C.","Parallels Among Competencies of STEM Education and Education for Sustainability",2025,"World Sustainability Series","Part F280",,,"927","944",,1,"10.1007/978-3-031-80434-2_51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002772886&doi=10.1007%2f978-3-031-80434-2_51&partnerID=40&md5=8d190772dee76e384cbf501592fcfcba","Due to the current climate crisis, growing social inequities, and continued exploitation of the environment and its inhabitants, there is an urgent need to incorporate education for sustainability (EfS) into mainstream education globally (Nolet, Teachers College Record 111:409–442, 2009; Santone, Educational Leadership 61:60–63, 2003; Sterling, Environmental Education Research 16:511–528, 2010). Science, technology, engineering, and mathematics (STEM) education isa growing educational approach that appears to share some common goals and pedagogies of EfS. The authors conducted a scoping literature review to examine the parallels between STEM education and EfS competencies in K-12 education. A total of 25 articles from 2013 to 2022 were reviewed, revealing emergent themes in the data. Many competencies fell under the United Nations Educational, Scientific and Cultural Organization (UNESCO) key competencies for sustainability (UNESCO, Education for Sustainable Development Goals Learning Objectives, 2017). This review revealed that the most common competencies in both educational initiatives are systems thinking, critical thinking, and collaborative skills. The findings of this systematic review inform future research regarding how these emergent competencies can be used to enable EfS to become more mainstream in K-12 STEM education classrooms and initial teacher education (ITE) programs in higher education, which would transfer skills into STEM careers. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Competencies; Education for sustainability; STEM education; Sustainability education",,Book Chapter,"",Scopus
"Routaharju L., Väisänen S., Soukka R.","The potential for planning competence development and transformative learning in the Life–Cycle Assessment learning process",2025,"European Journal of Engineering Education",,,,"","",,,"10.1080/03043797.2025.2493951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003118424&doi=10.1080%2f03043797.2025.2493951&partnerID=40&md5=eae18009780713f304e0a3f5d3fdb9d6","Frameworks on sustainability competencies suggest students should be equipped with abilities allowing them to craft sustainability action plans, and the call for transformative sustainability learning expects these abilities to be acquired in a manner that transforms the way they make sense of the world. Ensuring these in engineering education is both an opportunity and a challenge. Engineers are historically seen as problem solvers, so the responsibility to master tools, such as Life–Cycle Assessment (LCA), for assessing sustainability performance and recognising improvement potential falls naturally on them. We investigated the LCA learning process to find out if the potential for transformative learning and the development of systems–thinking, futures–thinking, values–thinking and strategies–thinking is already present in engineering education. Our results indicate the potential for both sustainability competence development and transformative learning, offering a perspective of how sustainability learning could be brought into the praxis of engineering education. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","futures–thinking; Life–Cycle Assessment; strategies–thinking; systems–thinking; transformative learning; values–thinking","Sustainable development goals; Action plan; Competence development; Development Learning; Future–thinking; Learning process; Strategy–thinking; Sustainability learning; System thinkings; Transformative learning; Value–thinking; Life cycle assessment",Article,"",Scopus
"Tejedor G., Lazzarini B., Segalàs J., Vidal E., Sànchez-Carracedo F.","Comprehensive Process and Tools for Integrating Sustainability Education into Engineering Curricula",2025,"World Sustainability Series","Part F128",,,"307","331",,,"10.1007/978-3-031-80380-2_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000302998&doi=10.1007%2f978-3-031-80380-2_15&partnerID=40&md5=38b853e7d5f59b5b05e4fbe5b785a240","This chapter outlines the process and tools developed in the EDINSOST projects to incorporate sustainability competences into Engineering degree curricula and competence building of faculty. It introduces the sustainability competency map for engineering degrees, defining learning outcomes essential for Education for Sustainable Development (ESD) across all disciplines. The chapter details the survey of teaching staff and the methodology for constructing an ESD presence map within a degree, providing a nuanced understanding of the integration of sustainability principles. The ESD presence map serves as a crucial assessment tool, gauging the degree to which the sustainability map's learning outcomes are embedded in a specific curriculum. Additionally, the chapter presents outcomes from a student survey, elucidating student perceptions of achieving sustainability map-learning outcomes. Successfully tested across diverse degrees, the methodologies and tools have garnered endorsement from the Universitat Politècnica de Catalunya-BarcelonaTech. This institution has adopted the EDINSOST model, solidifying its commitment to systematically introduce ESD across all bachelor degree programs. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Competency map; EDINSOST; Education for sustainable development; Sustainability; UNESCO learning objectives",,Book Chapter,"",Scopus
"Koopman K., Mosyjowski E.A., Daly S.R., Skerlos S.J., Syal S.M.","Insights and implications from a sociotechnical case study approach in sustainability education",2025,"International Journal of Sustainability in Higher Education","26","9",,"169","187",,,"10.1108/IJSHE-01-2024-0007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004647319&doi=10.1108%2fIJSHE-01-2024-0007&partnerID=40&md5=5c059be83e279b65501dbd36fe7ef240","Purpose: This study aims to investigate the use of a sociotechnical case study as a means of integrating social and technical dimensions into an undergraduate engineering sustainability technical elective course. Design/methodology/approach: The “Big Wind Project” case study used a microhistory approach to engage students in the complexities of sustainable engineering, aiming to facilitate their exploration of the sociotechnical nature of engineering sustainability projects. Focused on a controversial wind energy project in Hawaii, the Big Wind Project case study served as a pedagogical tool in the course for engaging engineering students in complex sustainability challenges. Findings: Thirty-nine students who engaged in the case study lesson responded to questions about their perceptions of the case and the role of stakeholders and other social dimensions in engineering decision-making and agreed that we could use their responses in this research. While many students acknowledged the importance of accounting for social dimensions, their discussions frequently reflected a persistent tendency of engineering work to view outcomes through a dualistic technical-vs-social lens rather than an integrated sociotechnical lens. Originality/value: This study examined how a case study reveals and supports students’ navigation of the complexities of sociotechnical engineering sustainability work. © 2025, Kristen Koopman, Erika A. Mosyjowski, Shanna R. Daly, Steven J. Skerlos and Sita M. Syal.","Engineering case study; Engineering education; Sociotechnical integration; Sustainable engineering education",,Article,"",Scopus
